skill,origin_week,train_size,method,variant,forecast_week,horizon_step,actual,predicted,abs_error,sq_error,pct_error
java,2024-W12,12,ES,holt_winters_full,2024-W15,3,272,265.29,6.7099999999999795,45.02409999999973,2.4669117647058747
java,2024-W12,12,ES,holt_winters_full,2024-W16,4,275,264.53,10.470000000000027,109.62090000000057,3.807272727272737
java,2024-W12,12,"SARIMAX(no-season,short-history)",sarima,2024-W13,1,257,266.04,9.04000000000002,81.72160000000036,3.5175097276264675
java,2024-W12,12,"SARIMAX(no-season,short-history)",sarima,2024-W14,2,272,262.6,9.399999999999977,88.35999999999957,3.455882352941168
java,2024-W12,12,"SARIMAX(no-season,short-history)",sarima,2024-W15,3,272,264.94,7.060000000000002,49.84360000000003,2.5955882352941186
java,2024-W12,12,"SARIMAX(no-season,short-history)",sarima,2024-W16,4,275,263.34,11.660000000000025,135.95560000000057,4.240000000000009
java,2024-W12,12,XGBoost,xgboost,2024-W13,1,257,261.04,4.0400000000000205,16.321600000000167,1.571984435797673
java,2024-W12,12,XGBoost,xgboost,2024-W14,2,272,261.04,10.95999999999998,120.12159999999955,4.029411764705875
java,2024-W12,12,XGBoost,xgboost,2024-W15,3,272,261.04,10.95999999999998,120.12159999999955,4.029411764705875
java,2024-W12,12,XGBoost,xgboost,2024-W16,4,275,261.04,13.95999999999998,194.88159999999942,5.076363636363629
java,2024-W12,12,naive,naive,2024-W13,1,257,261.0,4.0,16.0,1.556420233463035
java,2024-W12,12,naive,naive,2024-W14,2,272,261.0,11.0,121.0,4.044117647058823
java,2024-W12,12,naive,naive,2024-W15,3,272,261.0,11.0,121.0,4.044117647058823
java,2024-W12,12,naive,naive,2024-W16,4,275,261.0,14.0,196.0,5.090909090909091
java,2024-W16,16,ARIMA,arima_es,2024-W17,1,266,272.79,6.7900000000000205,46.10410000000028,2.552631578947376
java,2024-W16,16,ARIMA,arima_es,2024-W18,2,268,274.34,6.339999999999975,40.195599999999686,2.3656716417910353
java,2024-W16,16,ARIMA,arima_es,2024-W19,3,267,273.25,6.25,39.0625,2.3408239700374533
java,2024-W16,16,ARIMA,arima_es,2024-W20,4,282,274.02,7.980000000000018,63.68040000000029,2.8297872340425596
java,2024-W16,16,ES,holt_winters_full,2024-W17,1,266,267.35,1.3500000000000227,1.8225000000000613,0.5075187969924897
java,2024-W16,16,ES,holt_winters_full,2024-W18,2,268,266.91,1.089999999999975,1.1880999999999455,0.4067164179104384
java,2024-W16,16,ES,holt_winters_full,2024-W19,3,267,266.46,0.5400000000000205,0.2916000000000221,0.2022471910112436
java,2024-W16,16,ES,holt_winters_full,2024-W20,4,282,266.02,15.980000000000018,255.3604000000006,5.666666666666673
java,2024-W16,16,"SARIMAX(no-season,short-history)",sarima,2024-W17,1,266,272.99,6.990000000000009,48.86010000000013,2.627819548872184
java,2024-W16,16,"SARIMAX(no-season,short-history)",sarima,2024-W18,2,268,274.27,6.269999999999982,39.31289999999977,2.3395522388059633
java,2024-W16,16,"SARIMAX(no-season,short-history)",sarima,2024-W19,3,267,273.46,6.4599999999999795,41.73159999999974,2.4194756554307038
java,2024-W16,16,"SARIMAX(no-season,short-history)",sarima,2024-W20,4,282,273.98,8.019999999999982,64.32039999999971,2.843971631205667
java,2024-W16,16,XGBoost,xgboost,2024-W17,1,266,275.47,9.470000000000027,89.68090000000052,3.56015037593986
java,2024-W16,16,XGBoost,xgboost,2024-W18,2,268,266.96,1.0400000000000205,1.0816000000000425,0.38805970149254493
java,2024-W16,16,XGBoost,xgboost,2024-W19,3,267,261.12,5.8799999999999955,34.57439999999995,2.2022471910112342
java,2024-W16,16,XGBoost,xgboost,2024-W20,4,282,257.9,24.100000000000023,580.8100000000011,8.54609929078015
java,2024-W16,16,naive,naive,2024-W17,1,266,275.0,9.0,81.0,3.3834586466165413
java,2024-W16,16,naive,naive,2024-W18,2,268,275.0,7.0,49.0,2.6119402985074625
java,2024-W16,16,naive,naive,2024-W19,3,267,275.0,8.0,64.0,2.9962546816479403
java,2024-W16,16,naive,naive,2024-W20,4,282,275.0,7.0,49.0,2.4822695035460995
java,2024-W20,20,ARIMA,arima_es,2024-W21,1,274,271.21,2.7900000000000205,7.784100000000114,1.0182481751824892
java,2024-W20,20,ARIMA,arima_es,2024-W22,2,274,278.85,4.850000000000023,23.52250000000022,1.7700729927007381
java,2024-W20,20,ARIMA,arima_es,2024-W23,3,264,273.44,9.439999999999998,89.11359999999996,3.5757575757575752
java,2024-W20,20,ARIMA,arima_es,2024-W24,4,266,277.27,11.269999999999982,127.01289999999959,4.236842105263151
java,2024-W20,20,ES,holt_winters_full,2024-W21,1,274,268.85,5.149999999999977,26.522499999999766,1.8795620437956122
java,2024-W20,20,ES,holt_winters_full,2024-W22,2,274,268.64,5.360000000000014,28.729600000000147,1.9562043795620487
java,2024-W20,20,ES,holt_winters_full,2024-W23,3,264,268.43,4.430000000000007,19.62490000000006,1.6780303030303054
java,2024-W20,20,ES,holt_winters_full,2024-W24,4,266,268.22,2.2200000000000273,4.928400000000122,0.8345864661654238
